	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
AAMP	3322.10023133987	3294.56707490418	2645.6209992527	2799.41507822595	2633.51714493121	3618.13310411853	3432.50171870342	3507.75593044793
AANAT	4.47377868783745	7.48522217602378	9.98661591413414	10.7086327506253	6.1208998139017	5.34567806567623	2.07778554400933	9.3611481178557
AARS	3559.84961303637	3553.34189870386	3979.66644178246	4087.12816648864	3784.24630994473	3521.91089893635	3468.86296572358	3565.26012602904
AARS2	2844.6841342235	2916.02869628812	1898.28924167833	1892.75083867301	1911.25096689081	2209.54693381284	2154.66360913768	2215.91749018384
AARSD1	1036.63843309605	959.177755984761	879.654418436649	907.556625615491	850.805074132336	790.269407375802	813.453040479654	752.903770050394
AASDH	816.784166150895	819.097169547745	815.573632987622	829.026652110905	869.167773574042	736.81262671904	744.886117527346	739.5307013106
AASDHPPT	3529.17227346263	3404.7067726371	3218.18697832973	3054.63749211585	3406.2807464363	4116.17211057069	3887.53675284146	3867.49147954838
AASS	1051.3379916418	1070.3867711714	1137.64199621845	984.301826994972	1274.67738624503	911.438110197797	884.097748975972	833.142182489157
AATF	2937.99437542697	2861.49350614852	2313.56602010774	2211.33266300412	2264.73293114363	2859.93776513678	2770.72702293645	2687.98681669856
AATK	149.552030421995	218.140760558407	304.591785381091	324.828526768966	310.635665555511	237.882673922592	276.345477353242	290.195591653527
AATK-AS1	0.639111241119636	0	5.82552594991158	0	4.59067486042628	3.56378537711748	2.07778554400933	4.01192062193816
ABAT	242.223160384342	248.081649262502	525.129553484887	486.350404090897	454.476811182201	356.378537711748	359.456899113615	401.192062193816
ABCA1	49.8506768073316	68.4363170379317	177.262432475881	154.382788821514	162.203845068395	69.493814853791	94.5392422524247	89.5995605566188
ABCA10	19.1733372335891	21.3863490743537	16.6443598568902	12.4934048757295	12.2417996278034	16.0370341970287	35.3223542481587	30.7580581015259
ABCA11P	189.176927371412	191.407824215465	200.564536275527	182.939142823181	212.701268533084	211.154283594211	191.156270048859	184.548348609155
ABCA12	3.19555620559818	6.4159047223061	1.66443598568902	3.56954425020842	9.18134972085255	4.45473172139686	10.3889277200467	8.02384124387631
ABCA13	8.9475573756749	10.6931745371768	0.832217992844512	1.78477212510421	3.06044990695085	2.67283903283811	3.116678316014	5.34922749591754
ABCA17P	8.30844613455527	11.7624919908945	10.8188339069787	15.1705630633858	7.65112476737713	17.8189268855874	12.466713264056	8.02384124387631
ABCA2	653.810799665388	801.988090288262	951.225165821277	1085.14145206336	934.967446573485	758.195338981745	788.519613951542	900.007526188126
ABCA3	879.417067780619	871.493724779911	778.123823309619	932.54343536695	765.112476737713	688.701524127954	784.364042863524	789.011055647837
ABCA4	3.83466744671782	3.20795236115305	8.32217992844512	7.13908850041684	9.18134972085255	4.45473172139686	12.466713264056	10.6984549918351
ABCA5	929.267744587951	988.049327235139	947.896293849899	945.929226305231	1077.2783672467	1119.02860841489	1194.72668780537	1116.65123977279
ABCA6	5.11288992895709	5.34658726858841	1.66443598568902	1.78477212510421	1.53022495347543	12.4732488199112	10.3889277200467	10.6984549918351
ABCA7	358.541406268116	430.934933848226	367.00813484443	421.206221524593	397.858487903611	378.652196318733	355.301328025596	389.156300328001
ABCA8	26.8426721270247	26.7329363429421	43.2753356279146	49.9736195029179	39.7858487903611	44.5473172139686	47.7890675122147	65.5280368249899
ABCA9	7.66933489343563	8.55453962974146	5.82552594991158	3.56954425020842	1.53022495347543	14.2551415084699	27.0112120721213	21.3969099836702
ABCB1	545.800999916169	588.124599544726	744.835103595838	704.092603353611	785.005401132893	855.308490508196	814.491933251659	795.697590017734
ABCB10	920.320187212276	1086.42653297717	1480.51580927039	1530.44209727686	1700.0799233112	1764.07376167315	1700.66746777164	1685.00666121403
ABCB11	0.639111241119636	0	0.832217992844512	0.892386062552105	3.06044990695085	0.890946344279371	2.07778554400933	1.33730687397938
ABCB4	77.3324601754759	104.793110464333	184.752394411482	176.692440385317	206.580368719182	114.04113206776	105.967062744476	127.044153028042
ABCB5	0.639111241119636	3.20795236115305	5.82552594991158	3.56954425020842	3.06044990695085	2.67283903283811	8.31114217603734	6.68653436989692
ABCB6	204.515597158283	248.081649262502	264.645321724555	286.455926079226	240.245317695642	237.882673922592	234.789766473055	251.413692308124
ABCB7	1478.26430070972	1454.27173705605	1508.8112210271	1489.39233839946	1571.54102721926	1297.21787727076	1307.96599995388	1309.22342962582
ABCB8	1133.14423050511	1125.99127876472	1031.95031112719	1044.98407924851	785.005401132893	1051.31668624966	998.375953896485	1071.18280605749
ABCB9	221.132489427394	210.655538382383	198.900100289838	189.185845261046	146.901595533641	208.481444561373	225.439731525013	244.727157938227
ABCC1	1859.17460041702	1954.71230539592	1810.90635242966	1827.60665610671	1752.10757172936	1748.03672747613	1791.05113893605	1849.49540671349
ABCC10	584.786785624467	613.78821843395	578.391505026936	581.835712783972	509.564909507317	577.333231093033	570.352131830562	585.740410802971
ABCC11	18.5342259924694	13.9011268983299	10.8188339069787	10.7086327506253	19.8929243951805	16.9279805413081	14.5444988080653	10.6984549918351
ABCC12	1.91733372335891	0	0.832217992844512	0	0	0.890946344279371	1.03889277200467	0
ABCC13	0	0	0	0.892386062552105	0	0	0	0
ABCC2	120.792024571611	113.347650094074	71.570747384628	66.9289546914079	70.3903478598696	109.586400346363	93.5003494804201	101.635322422433
ABCC3	2.55644496447854	1.06931745371768	2.49665397853354	0.892386062552105	3.06044990695085	1.78189268855874	3.116678316014	2.67461374795877
ABCC4	633.359239949559	676.877948203293	646.633380440186	628.239788036682	670.238529622236	675.337328963763	707.485977735178	722.145711948868
ABCC5	2439.48760735365	2355.70635054006	1913.26916554953	1753.53861291489	1772.00049612454	2025.12104054701	1971.81848126486	1872.22962357114
ABCC6	78.6106826577152	86.6147137511323	96.5372871699634	102.624397193492	113.236646557181	63.2571904438354	70.6447084963174	90.9368674305982
ABCC6P1	23.0080046803069	20.317031620636	30.7920657352469	35.6954425020842	32.1347240229839	16.0370341970287	19.7389626680887	21.3969099836702
ABCC6P2	3.19555620559818	6.4159047223061	10.8188339069787	8.03147456296894	12.2417996278034	4.45473172139686	4.15557108801867	6.68653436989692
ABCC8	41.5422306727763	52.3965552321665	64.0807854490274	58.8974801284389	81.1019225341975	65.0390831323941	41.5557108801867	73.5518780688662
ABCC9	1.27822248223927	5.34658726858841	4.99330795706707	8.03147456296894	1.53022495347543	0.890946344279371	5.19446386002334	4.01192062193816
ABCD1	263.31383134129	250.220284169938	201.396754268372	263.253888452871	166.794519928821	227.19131779124	259.723193001167	230.016782324454
ABCD2	19.1733372335891	18.1783967132006	59.9196954848049	56.2203219407826	52.0276484181645	45.4382635582479	41.5557108801867	58.8415024550929
ABCD3	3220.48154400185	3086.05017142923	2663.09757710244	2626.29218209084	3280.80230025131	3184.24223445447	3211.21755826643	3050.39697954698
ABCD4	1222.61980426186	1215.81394487701	1134.31312424707	1158.31710919263	1065.0365676189	1216.14175994134	1178.10440345329	1315.90996399571
ABCE1	4903.26144186985	4577.7480193654	3640.1215007019	3527.60210526847	4157.62119859273	4246.25027683548	4360.23296410359	4003.89678069428
ABCF1	6876.19784320616	6631.90684795707	5123.13396395082	5172.269618552	4743.69735577382	6346.21081030196	5998.56686555495	6118.17894845569
ABCF2	4556.863149183	4289.03230686163	2723.84949058009	2641.46274515423	2587.61039632694	3829.28738771274	3717.1583382327	3563.92281915506
ABCF3	1262.24470121128	1123.85264385728	882.983290408027	901.309923177626	859.986423853189	978.25908601875	897.603355012032	969.547483635054
ABCG1	47.9333430839727	39.5647457875543	156.456982654768	140.996997883233	154.552720301018	112.259239379201	121.550454324546	119.020311784165
ABCG2	170.642701378943	179.645332224571	172.269124518814	168.660965822348	208.110593672658	243.228351988268	278.423262897251	251.413692308124
ABCG4	98.4231311324239	118.694237362663	147.302584733479	177.584826447869	165.264294975346	118.495863789156	155.8339158007	143.091835515794
ABCG5	0.639111241119636	0	1.66443598568902	1.78477212510421	0	1.78189268855874	5.19446386002334	2.67461374795877
ABCG8	0	1.06931745371768	2.49665397853354	4.46193031276052	1.53022495347543	0.890946344279371	2.07778554400933	1.33730687397938
ABHD1	23.6471159214265	39.5647457875543	66.577439427561	59.789866190991	48.9671985112136	36.5288001154542	31.16678316014	48.1430474632579
ABHD10	2345.53825490906	2351.42908072518	2012.30310669803	1962.35695155208	2336.65350395697	2167.67245563171	2192.06374892985	2019.33337970887
ABHD11	410.948528039926	413.825854588743	481.854217856972	557.741289095065	495.792884926038	549.713894420372	504.901887194268	546.958511457568
ABHD11-AS1	1.27822248223927	2.13863490743537	1.66443598568902	0	0	1.78189268855874	0	8.02384124387631
ABHD12	1275.02692603367	1090.70380279204	880.486636429494	907.556625615491	849.274849178861	926.584198050546	883.058856203967	895.995605566188
ABHD12B	0	0	0	0	0	0	0	0
ABHD13	523.432106476982	542.143949034865	720.700781803347	680.890565727256	742.159102435581	570.205660338798	577.624381234595	498.815463994311
ABHD14A	116.318245883774	81.2681264825439	104.859467098409	121.364504507086	74.9810227202958	110.477346690642	89.3447783924014	112.333777414268
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	406.474749352088	461.945140006039	636.646764526052	752.281450731424	567.713457739383	367.069893843101	360.495791885619	397.180141571877
ABHD15	449.934313748224	477.984901811804	476.860909899905	511.337213842356	483.551085298234	468.637777090949	429.062714837928	447.997802783094
ABHD16A	552.831223568485	512.20306033077	452.726588107414	443.515873088396	431.52343688007	453.4916892382	424.907143749909	423.926279051465
ABHD16B	0.639111241119636	2.13863490743537	1.66443598568902	0.892386062552105	0	1.78189268855874	2.07778554400933	1.33730687397938
ABHD2	2277.15335210926	2296.89389058558	2142.12911358177	2007.86864074224	2171.38920898163	1993.93791849723	1973.89626680887	1916.36075041246
ABHD3	683.84902799801	701.4722496388	613.344660726405	625.562629849025	736.03820262168	710.975182734938	731.380511491286	691.387653847342
ABHD4	510.010770413469	469.430362182063	501.827449685241	481.888473778137	411.630512484889	454.382635582479	419.712679889886	442.648575287176
ABHD5	1180.43846234797	975.217517790527	843.036826751491	832.596196361114	950.269696108239	931.038929771943	891.369998380005	894.658298692209
ABHD6	234.553825490906	224.556665280713	275.464155631533	277.532065453705	261.668467044298	237.882673922592	218.16748212098	227.342168576495
ABHD8	506.815214207871	500.440568339876	494.33748774964	598.791047972462	475.899960530857	556.841465174607	599.441129446693	599.113479542764
ABI1	1848.94882055911	1760.09652881931	1448.05930754945	1423.35576977061	1522.57382870805	1474.51619978236	1448.21652417451	1287.82651964215
ABI2	3442.89225591148	3662.41227898306	4009.62628952486	3930.06821947947	4114.77489989542	4223.08567188422	4284.39379174725	4300.7789067177
ABI3	4.47377868783745	0	2.49665397853354	3.56954425020842	3.06044990695085	1.78189268855874	1.03889277200467	2.67461374795877
ABI3BP	23.6471159214265	26.7329363429421	47.4364255921372	54.4355498156784	81.1019225341975	32.9650147383367	23.8945337561073	36.1072855974434
ABL1	3125.89308031614	2988.74228314092	2470.85522075536	2540.62312008584	2414.69497658422	2808.26287716858	2891.23858448899	2868.52324468578
ABL2	1416.27051032111	1523.7773715477	2406.77443530633	2117.63212643614	2351.95575349173	1341.76519448473	1435.74981091045	1452.31526514161
ABLIM1	2399.22359916311	2501.13352424566	2545.75484011136	2447.81496958042	2589.14062128042	3158.40479047037	3070.9670340458	3113.25040262401
ABLIM2	37.0684519849389	37.4261108801189	55.7586055205823	57.1127080033347	33.6649489764594	40.9835318368511	37.400139792168	34.769978723464
ABLIM3	60.0764566652458	63.0897297693433	127.32935290521	150.813244571306	107.11574674328	75.7304392637465	85.1892073043827	90.9368674305982
ABO	0.639111241119636	2.13863490743537	0.832217992844512	1.78477212510421	0	3.56378537711748	2.07778554400933	2.67461374795877
ABP1	1.27822248223927	0	2.49665397853354	0.892386062552105	1.53022495347543	0	2.07778554400933	2.67461374795877
ABR	2082.86353480889	2047.74292386936	1756.81218289476	1715.16601222515	1586.84327675402	2079.46876754805	1977.01294512488	2174.46097709048
ABRA	0	0	0	0	0	0	0	0
ABT1	2351.29025607914	2261.6064146129	1638.63722791084	1689.28681641113	1430.76033149952	1998.39265021863	1952.07951859677	1896.30114730277
ABTB1	123.34846953609	118.694237362663	183.087958425793	184.723914948286	197.39901899833	155.91561024889	173.495092924779	144.429142389774
ABTB2	816.784166150895	800.918772834544	666.606612268454	667.504774788974	567.713457739383	637.02663615975	613.985628254758	659.292288871837
ACAA1	798.249940158425	869.355089872476	781.452695280997	873.645955238511	703.903478598696	920.34757364059	836.308681463757	936.114811785569
ACAA2	818.701499874254	846.899423344405	821.399158937533	883.462201926584	912.014072271353	929.257037083384	902.797818872056	900.007526188126
ACACA	4439.26668081699	4115.80287935936	3818.21615117062	3586.49958539691	3674.0701132945	3626.15162121704	3869.87557571739	3820.6857389591
ACACB	506.815214207871	457.667870191168	466.042075992927	478.318929527928	411.630512484889	492.693328386492	482.046246210166	485.442395254517
ACAD10	601.403677893577	581.708694822419	512.646283592219	539.893567844023	478.960410437808	405.380586647114	394.779253361774	415.902437807589
ACAD11	93.3102412034668	79.1294915751085	102.362813119875	129.395979070055	104.055296836329	75.7304392637465	97.6559205684387	94.9487880525363
ACAD8	692.157474132566	657.630234036375	571.73376108418	575.589010346108	560.062332972006	597.824997011458	578.6632740066	623.185003274393
ACAD9	1882.82171633845	1874.5134963671	1486.3413352203	1504.56290146285	1533.28540338238	1879.89678642947	1805.59563774411	1830.77311047778
ACADL	105.45335478474	95.1692533808738	95.7050691771189	83.8842898798978	99.4646219759026	130.969112609068	132.978274816597	116.345698036206
ACADM	2328.28225139883	2366.39952507723	2061.40396827586	1972.17319824015	2218.82618253937	1904.8432840693	2005.06304996901	1889.61461293287
ACADS	141.24358428744	191.407824215465	233.853255989308	241.83662295162	224.943068160888	187.098732298668	172.456200152775	193.909496727011
ACADSB	1344.05094007459	1378.35019784209	1013.64151528462	1013.75056705919	1083.3992670606	1239.30636489261	1286.14925174178	1211.60002782532
ACADVL	1108.21889210145	1300.2900237207	1569.56313450475	1756.21577110254	1730.68442238071	1007.66031537997	956.820243016298	1171.48082160594
ACAN	15.9777810279909	11.7624919908945	34.9531556994695	25.879195814011	36.7253988834102	8.90946344279371	13.5056060360607	9.3611481178557
ACAP1	3.83466744671782	3.20795236115305	6.6577439427561	7.13908850041684	7.65112476737713	8.90946344279371	2.07778554400933	4.01192062193816
ACAP2	1981.88395871199	1918.35551196952	1863.33608597886	1750.86145472723	2042.85031288969	1884.35151815087	1989.47965838894	1804.02697299819
ACAP3	1034.08198813157	1087.49585043088	999.493809406259	1030.70590224768	962.511495736043	885.600666213695	896.564462240028	1043.09936170392
ACAT1	2171.69999732452	2280.85412877982	2398.45225537788	2265.76821281979	2332.06282909655	2364.57159771745	2338.54762978251	2357.67201882566
ACAT2	2516.82006752913	2471.19263554156	2527.44604426878	2559.36322739944	2410.10430172379	2592.65386185297	2466.33144073908	2445.9342725083
ACBD3	3634.62562824737	3521.26237509233	3361.32847309898	3313.42945025597	3758.23248573564	3301.84715189935	3391.98490059524	3194.82612193675
ACBD4	308.051618219665	357.152029541706	533.451733413332	555.956516969961	433.053661833545	444.582225795406	429.062714837928	464.045485270847
ACBD5	1423.30073397343	1377.28088038838	1308.24668475157	1282.35877188737	1392.50470766264	1523.51824871772	1563.53362186702	1552.61328069007
ACBD6	1005.96109352231	1032.96066029128	1093.53444259769	1134.22268550373	1182.8638890365	1192.0862086458	1181.22108176931	1130.02430851258
ACBD7	452.490758712702	489.747393802699	416.108996422256	423.88337971225	439.174561647447	596.934050667179	544.379812530446	522.88698772594
ACCN1	0.639111241119636	1.06931745371768	0	0.892386062552105	0	0	1.03889277200467	2.67461374795877
ACCN2	630.163683743961	733.55177325033	1068.56790281235	1235.06231057211	1040.55296836329	680.68300702944	705.408192191169	730.169553192744
ACCN3	56.8809004596476	81.2681264825439	74.8996193560061	112.440643881565	74.9810227202958	59.6934050667179	65.450244636294	77.5637986908043
ACCN4	40.2640081905371	37.4261108801189	10.8188339069787	16.95533518849	0	12.4732488199112	21.816748212098	20.0596031096908
ACCN5	0	0	0	0	0	0	0	0
ACCS	78.6106826577152	68.4363170379317	151.463674697701	125.826434819847	149.962045440592	108.695454002083	127.783810956574	132.393380523959
ACCSL	0	1.06931745371768	0.832217992844512	0	0	0	1.03889277200467	0
ACD	359.180517509235	375.330426254907	381.155840722786	436.376784587979	315.226340415938	484.674811287978	451.91835582203	454.684337152991
ACE	106.09246602586	110.139697732921	236.349909967841	225.773673825683	197.39901899833	132.751005297626	102.850384428462	98.9607086744745
ACE2	25.5644496447854	22.4556665280713	30.7920657352469	32.1258982518758	26.0138242090822	30.2921757054986	20.7778554400933	22.7342168576495
ACER1	1.27822248223927	0	0	0.892386062552105	0	0	1.03889277200467	1.33730687397938
ACER2	76.0542376932367	69.5056344916494	106.523903084098	97.2700808181794	100.994846929378	65.0390831323941	75.8391723563407	74.8891849428456
ACER3	810.393053739698	819.097169547745	823.063594923222	805.824614484551	901.302497597026	814.324958671345	868.514357395902	767.614145664167
ACHE	77.9715714165956	73.7829043065201	158.121418640457	149.028472446202	131.599345998887	33.8559610826161	39.4779253361774	42.7938199673403
ACIN1	8562.81240852088	8003.84114107686	6069.36582181503	5769.27589439936	5354.25711221051	6475.39803022247	6374.64604902064	6742.70125860406
ACLY	15139.2670796419	15041.0193039929	12628.9080414155	12550.5175837328	11854.6527145741	14079.6250786469	13530.5394625888	14088.5279173728
ACMSD	0	0	0	0	0	0	0	0
ACN9	704.939698954958	635.174567508304	670.767702232677	685.352496040016	697.782578784794	602.279728732855	608.791164394735	548.295818331548
ACO1	797.610828917306	767.769931769296	772.298297359707	724.617482792309	768.172926644663	901.637700410724	937.08128034821	857.213706220786
ACO2	2339.14714249787	2268.02231933521	1751.8188749377	1865.97925679645	1634.28025031175	2027.79387957985	2012.33529937304	1977.87686661551
ACOT1	59.4373454241261	55.6045075933195	50.7652975635152	57.1127080033347	50.497423464689	60.5843514109972	39.4779253361774	46.8057405892785
ACOT11	70.9413477642796	59.8817774081902	63.2485674561829	90.1309923177626	58.1485482320662	73.0576002309084	86.2281000763874	89.5995605566188
ACOT12	2.55644496447854	0	3.32887197137805	1.78477212510421	3.06044990695085	0.890946344279371	3.116678316014	0
ACOT13	1025.1344307559	979.494787605397	979.520577577991	1024.45919980982	1026.78094378201	960.440159133162	933.964602032196	978.90863175291
ACOT2	338.089846552287	329.349775745046	282.12189957429	321.258982518758	244.835992556068	291.339454579354	275.306584581237	310.255194763217
ACOT4	1.27822248223927	1.06931745371768	0.832217992844512	0	0	0.890946344279371	2.07778554400933	0
ACOT6	0	0	0	1.78477212510421	1.53022495347543	0	0	2.67461374795877
ACOT7	1328.0731590466	1286.38889682237	1323.22660862277	1363.56590357962	1146.13849015309	1717.74455177063	1685.08407619157	1658.26052373444
ACOT8	366.210741161551	358.221346995424	373.665878787186	428.34531002501	345.830839485446	398.253015892879	392.701467817764	369.09669721831
ACOT9	494.032989385479	546.421218849736	684.915408111033	680.890565727256	684.010554203515	604.952567765693	617.102306570772	623.185003274393
ACOX1	1605.44743769253	1543.02508571462	1433.07938367825	1397.4765739566	1543.9969780567	1579.64786840733	1705.86193163166	1594.06979378343
ACOX2	5.11288992895709	10.6931745371768	11.6510518998232	17.8477212510421	19.8929243951805	8.90946344279371	9.350034948042	8.02384124387631
ACOX3	290.156503468315	257.705506345962	254.658705810421	259.684344202662	232.594192928265	289.557561890796	279.462155669255	243.389851064248
ACOXL	39.6248969494174	38.4954283338366	88.2151072415183	98.1624668807315	88.7530473015747	116.713971100598	131.939382044593	135.067994271918
ACP1	3201.30820676826	3076.42631434577	2901.94414104881	2856.52778622929	3063.5103568578	3233.24428338984	3148.88399194615	3196.16342881073
ACP2	710.691700125035	654.422281675222	542.606131334622	541.678339969128	523.336934088595	786.705621998685	699.174835559141	735.518780688662
ACP5	3.19555620559818	3.20795236115305	1.66443598568902	4.46193031276052	1.53022495347543	2.67283903283811	2.07778554400933	6.68653436989692
ACP6	543.24455495169	602.025726443055	585.049248969692	624.670243786473	570.773907646334	534.567806567623	548.535383618464	522.88698772594
ACPL2	557.944113497442	594.540504267032	702.391985960768	775.483488357779	775.824051412041	750.176821883231	722.030476543244	760.92761129427
ACPP	56.8809004596476	49.1886028710134	114.013865019698	79.4223595671373	105.585521789804	106.022614969245	97.6559205684387	98.9607086744745
ACPT	0	0	0	0	0	1.78189268855874	1.03889277200467	1.33730687397938
ACR	2.55644496447854	1.06931745371768	0.832217992844512	2.67715818765631	1.53022495347543	1.78189268855874	1.03889277200467	2.67461374795877
ACRBP	13.4213360635124	14.9704443520476	4.16108996422256	8.92386062552105	6.1208998139017	8.01851709851434	11.4278204920513	13.3730687397938
ACRC	207.711153363882	167.882840233676	71.570747384628	85.6690620050021	68.8601229063941	71.2757075423497	73.7613868123314	77.5637986908043
ACRV1	0	2.13863490743537	0	0	1.53022495347543	0.890946344279371	2.07778554400933	1.33730687397938
ACSBG1	52.4071217718101	37.4261108801189	9.15439792128963	12.4934048757295	10.711574674328	17.8189268855874	16.6222843520747	4.01192062193816
ACSBG2	1.27822248223927	2.13863490743537	0	1.78477212510421	3.06044990695085	0	0	0
ACSF2	277.374278645922	311.171379031846	484.350871835506	547.03265634444	462.127935949578	304.703649743545	314.784509917414	300.894046645362
ACSF3	403.27919314649	423.449711672202	324.56501720936	319.474210393653	324.40769013679	362.615162121704	357.379113569606	373.108617840248
ACSL1	1349.80294124467	1409.36040399991	1502.98569507719	1477.79131958629	1608.26642610267	1437.98739966691	1519.90012544283	1493.77177823497
ACSL3	2437.57027363029	2575.9857460059	3261.46231395764	3240.25379312669	3758.23248573564	3421.23396203279	3503.14642719974	3507.75593044793
ACSL4	3476.1260404497	3830.29511921674	5486.81322682387	5366.80978018836	6244.84803513321	3841.76063653265	3939.4813914417	3676.25659656933
ACSL5	30.6773395737425	12.8318094446122	4.99330795706707	1.78477212510421	6.1208998139017	10.6913561313525	4.15557108801867	9.3611481178557
ACSL6	128.461359465047	159.328300603935	236.349909967841	207.033566512088	241.775542649117	140.769522396141	147.522773624663	137.742608019877
ACSM1	0.639111241119636	1.06931745371768	0	1.78477212510421	0	1.78189268855874	0	1.33730687397938
ACSM2A	0	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0
ACSM3	47.9333430839727	60.9510948619079	77.3962733345396	72.2832710667205	71.920572813345	53.4567806567623	57.1391024602567	74.8891849428456
ACSM4	0	0	0	0	0	0	0	0
ACSM5	0.639111241119636	0	0.832217992844512	0	0	0.890946344279371	0	0
ACSS1	352.150293856919	393.508822968107	457.719896064482	489.919948341106	445.295461461349	356.378537711748	343.873507533545	377.120538462187
ACSS2	445.460535060386	444.836060746556	569.237107105646	608.607294660535	477.430185484333	483.783864943699	450.879463050026	445.323189035135
ACSS3	157.22136531543	206.378268567513	243.007653910597	240.944236889068	261.668467044298	223.627532414122	190.117377276854	209.957179214763
ACTA1	92.6711299623472	84.4760788436969	50.7652975635152	48.1888473778137	39.7858487903611	57.9115123781591	45.7112819682054	88.2622536826394
ACTA2	500.424101796675	480.12353671924	234.685473982152	241.83662295162	211.171043579609	144.333307773258	168.300629064756	161.814131751506
ACTB	50599.7151819238	45836.2926536085	35278.5529346717	35918.5390177222	28902.8889212438	50599.5157306583	49094.9557266246	48454.6399648951
ACTBL2	100.340464855783	87.68403120485	16.6443598568902	13.3857909382816	19.8929243951805	55.238673345321	49.866853056224	48.1430474632579
ACTC1	9.58666861679454	7.48522217602378	5.82552594991158	9.81624668807315	9.18134972085255	12.4732488199112	11.4278204920513	6.68653436989692
ACTG1	58359.1647603573	55419.5156738263	47582.8959588778	49157.9786417452	42679.5041773831	55430.2268093411	54268.6417312078	54230.468353612
ACTG2	0	2.13863490743537	4.16108996422256	2.67715818765631	3.06044990695085	2.67283903283811	3.116678316014	2.67461374795877
ACTL10	0.639111241119636	3.20795236115305	3.32887197137805	0.892386062552105	0	1.78189268855874	1.03889277200467	2.67461374795877
ACTL6A	2752.65211550227	2525.72782568117	2113.00148383222	2050.70317174474	2179.04033374901	2655.02010595253	2555.67621913148	2540.88306056083
ACTL6B	3.83466744671782	3.20795236115305	2.49665397853354	2.67715818765631	0	3.56378537711748	2.07778554400933	2.67461374795877
ACTL7A	0	0	0	0	0	0	0	0
ACTL7B	0.639111241119636	0	0.832217992844512	0	0	1.78189268855874	0	2.67461374795877
ACTL8	19.1733372335891	25.6636188892244	6.6577439427561	2.67715818765631	3.06044990695085	24.9464976398224	16.6222843520747	18.7222962357114
ACTL9	0	0	0	0	0	0.890946344279371	0	0
ACTN1	2378.13292820617	2417.72676285568	2061.40396827586	2304.14081350953	2146.90560972602	2169.45434832027	2233.61945981003	2235.97709329353
ACTN2	742.008150939897	641.59047223061	546.767221298844	530.07732115595	491.202210065611	408.944372024231	397.895931677788	465.382792144826
ACTN3	1.91733372335891	1.06931745371768	0.832217992844512	3.56954425020842	1.53022495347543	0.890946344279371	0	5.34922749591754
ACTN4	6428.81997442242	5953.95958230006	4266.78164931381	4517.25824863875	3834.74373340942	5444.57310989124	5296.27535167979	5571.22043699812
ACTR10	1476.34696698636	1427.53880071311	1364.00529027216	1258.26434819847	1368.02110840703	1539.55528291475	1509.51119772278	1469.70025450334
